Element id: drag1, X: 575, Y: 62 [object DragEvent] 1471019523605
Element id: drag1, X: 476, Y: 236 [object DragEvent] 1471019524459
Element id: drag1, X: 571, Y: 58 [object MouseEvent] 1471019526033
Element id: drag1, X: 571, Y: 58 [object DragEvent] 1471019526162
Element id: drag1, X: 474, Y: 295 [object DragEvent] 1471019527849
Element id: div_1471019524431, X: 171, Y: 75 [object MouseEvent] 1471019528819
Element id: div_1471019524431, X: 171, Y: 75 [object DragEvent] 1471019529017
Element id: div_1471019524431, X: 477, Y: 237 [object DragEvent] 1471019529886
Element id: proceedbutton, X: 604, Y: 394 [object MouseEvent] 1471019532082
Result: Lattice positions incorrect, PUID: Hlat, 1471019535730
Element id: div_1471019524431, X: 169, Y: 78 [object MouseEvent] 1471019537465
Element id: div_1471019524431, X: 169, Y: 78 [object DragEvent] 1471019537738
Element id: proceedbutton, X: 610, Y: 391 [object MouseEvent] 1471019540430
Result: Lattice positions incorrect, PUID: Hlat, 1471019549064
Element id: div_1471019527821, X: 168, Y: 121 [object MouseEvent] 1471019595791
Element id: div_1471019527821, X: 168, Y: 121 [object DragEvent] 1471019596016
Element id: div_1471019494769, X: 216, Y: 160 [object MouseEvent] 1471019598685
Element id: div_1471019494769, X: 216, Y: 160 [object DragEvent] 1471019598884
Element id: div_1471019509433, X: 217, Y: 100 [object MouseEvent] 1471019601230
Element id: div_1471019509433, X: 217, Y: 100 [object DragEvent] 1471019601392
Element id: div_1471019521806, X: 265, Y: 126 [object MouseEvent] 1471019603080
Element id: div_1471019521806, X: 265, Y: 126 [object DragEvent] 1471019603234
Element id: div_1471019517018, X: 263, Y: 66 [object MouseEvent] 1471019605962
Element id: div_1471019517018, X: 263, Y: 66 [object DragEvent] 1471019606077
Element id: , X: 266, Y: 247 [object MouseEvent] 1471019612105
Element id: div_1471019339975, X: 268, Y: 240 [object MouseEvent] 1471019613905
Element id: div_1471019339975, X: 268, Y: 240 [object DragEvent] 1471019614120
